2.861606837055763908e+00,-6.364090714129677195e+00,0.000000000000000000e+00
2.795328906727883922e+00,-6.939272965693956685e+00,7.777777671813964844e+00
2.723571102481769923e+00,-7.453203013612967887e+00,7.777777671813964844e+00
2.646966305068708447e+00,-7.901333090068728637e+00,7.777777671813964844e+00
2.566193112066606830e+00,-8.279107479437671557e+00,7.777777671813964844e+00
2.481974762462581641e+00,-8.582224360599141733e+00,7.777777671813964844e+00
2.395075341472087782e+00,-8.806916626557216077e+00,7.777777671813964844e+00
2.307180059741496869e+00,-8.757918481786207465e+00,5.555555343627929688e+00
2.220028353152315503e+00,-8.652680209932546163e+00,5.555555343627929688e+00
2.134178589254033920e+00,-8.492256695404579503e+00,5.555555343627929688e+00
2.050174726933853275e+00,-8.278555058493425989e+00,5.555555343627929688e+00
1.968839652761301240e+00,-7.716662823759510736e+00,5.555555343627929688e+00
1.897088403761209463e+00,-6.539662608450221626e+00,5.555555343627929688e+00
1.836480062090104726e+00,-5.499335479098781398e+00,5.555555343627929688e+00
1.785711512529869482e+00,-4.581815769835530183e+00,5.555555343627929688e+00
1.743612021653118349e+00,-3.774587696729775121e+00,5.555555343627929688e+00
1.709324675409095606e+00,-3.026196368499633138e+00,3.333333253860473633e+00
1.682046519994815359e+00,-2.380744134040808646e+00,3.333333253860473633e+00
1.660808440389133223e+00,-1.825142008457368625e+00,3.333333253860473633e+00
1.644764970469158261e+00,-1.347877133591721677e+00,3.333333253860473633e+00
1.633179316709413076e+00,-9.388413709802064799e-01,3.333333253860473633e+00
1.625410024854400115e+00,-5.891753265998029843e-01,3.333333253860473633e+00
1.620899142661768488e+00,-2.911263350058043153e-01,3.333333253860473633e+00
1.619161743203002102e+00,-3.791956202261027864e-02,3.333333253860473633e+00
1.619776680473887343e+00,1.763584135362099292e-01,3.333333253860473633e+00
1.622378455339039904e+00,3.568641728289279058e-01,3.333333253860473633e+00
1.626650076434940750e+00,5.080908823092248339e-01,3.333333253860473633e+00
1.632316807962601146e+00,6.339513404061232205e-01,3.333333253860473633e+00
1.639140704244641755e+00,7.378514661258781526e-01,3.333333253860473633e+00
1.646915839256783309e+00,8.227550736772243356e-01,3.333333253860473633e+00
